Symbol,ShortName,IndustryName,PROVINCE,CITY,MAINBUSSINESS,Validated_Symbol
002165,红宝丽,化学原料及化学制品制造业,江苏省,南京市,主要从事聚氨酯硬泡组合聚醚和异丙醇胺系列产品的技术开发、生产与销售，主要产品为聚氨酯硬泡组合聚醚和异丙醇胺系列产品。,002165.SZ
002166,莱茵生物,医药制造业,广西壮族自治区,桂林市,植物功能成份的高纯度单体和标准化提取物的生产、销售。,002166.SZ
002167,东方锆业,有色金属冶炼及压延加工业,广东省,汕头市,锆系列制品的研究、开发、生产和销售。,002167.SZ
002168,惠程科技,互联网和相关服务,重庆市,重庆市,从事全密闭全绝缘中压电缆分支箱、中压电缆对接箱、低压电缆分支箱等电缆分支箱类产品，硅橡胶电缆附件、电缆插头等高性能硅橡胶绝缘制品，SMC 电气设备箱体等高性能复合材料绝缘制品，以及相关电力配网设备产品的研发、生产和销售。,002168.SZ
002169,智光电气,电气机械及器材制造业,广东省,广州市,主要从事电网安全与控制设备、电机控制与节能设备、供用电控制与自动化设备及电力信息化系统研发、设计、生产和销售。,002169.SZ
002170,芭田股份,化学原料及化学制品制造业,广东省,深圳市,复合肥产品的研发、生产和销售，主要包括无机复合肥、有机复合肥、控释肥、生态肥等。,002170.SZ
002171,楚江新材,有色金属冶炼及压延加工业,安徽省,芜湖市,铜基合金板带材的研发、生产、销售和服务。,002171.SZ
002172,澳洋健康,化学纤维制造业,江苏省,张家港市,纤维制造、销售业务、医疗健康、医药物流、健康管理、医疗康复,002172.SZ
002173,创新医疗,卫生,浙江省,诸暨市,淡水珍珠的养殖及加工。,002173.SZ
002174,游族网络,互联网和相关服务,福建省,晋江市,网页网络游戏、移动网络游戏的研发和运营。,002174.SZ
002175,东方智造,仪器仪表制造业,广西壮族自治区,桂林市,数显量具量仪及相关产品的生产、销售与研发。,002175.SZ
002176,江特电机,电气机械及器材制造业,江西省,宜春市,起重冶金电机、高压电机等特种电机的研发、生产与销售。,002176.SZ
002177,*ST 御银,专用设备制造业,广东省,广州市,1、ATM制造销售：ATM设备及相关系统软件的研发、制造、销售；2、ATM运营服务：为银行类金融机构提供ATM运营服务。,002177.SZ
002178,延华智能,专业技术服务业,上海市,上海市,建筑智能化规划咨询、工程设计、系统设备采购、工程施工、集成调试、项目管理以及运维增值服务全过程。,002178.SZ
002179,中航光电,计算机、通信和其他电子设备制造业,河南省,洛阳市,电连接器、光器件和线缆组件的研制开发、生产和销售,002179.SZ
002180,纳思达,计算机、通信和其他电子设备制造业,广东省,珠海市,厂矿企业（含发电厂）用继电保护及变电站综合自动化系统等产品的软硬件开发、生产与系统集成服务。,002180.SZ
002181,粤传媒,商务服务业,广东省,广州市,广告代理和制作、印刷、书报刊零售等。,002181.SZ
002182,云海金属,有色金属冶炼及压延加工业,江苏省,南京市,镁合金、金属锶、铝合金及中间合金等产品的研发、生产和销售,002182.SZ
002183,怡亚通,商务服务业,广东省,深圳市,为企业(客户)提供除其核心业务(指产品设计、开发、制造、销售、市场)以外的其它供应链环节的服务，并根据客户需要提供包括代理采购、产品营销支持、进出口通关、供应商管理库存(VMI)、国际国内物流、物流加工、供应链结算配套服务、供应链信息服务等一系列、全方位的供应链管理和相关配套服务。,002183.SZ
002184,海得控制,电气机械及器材制造业,上海市,上海市,工业自动化行业的系统集成业务与产品分销业务。,002184.SZ
002185,华天科技,计算机、通信和其他电子设备制造业,甘肃省,天水市,集成电路的封装与测试业务。,002185.SZ
002186,全聚德,餐饮业,北京市,北京市,餐饮服务及食品加工销售等。,002186.SZ
002187,广百股份,零售业,广东省,广州市,百货零售。,002187.SZ
002188,中天服务,商务服务业,浙江省,嘉兴市,通讯终端产品及便携式数码电子产品用微电声器件的研发、生产和销售。,002188.SZ
002189,中光学,计算机、通信和其他电子设备制造业,河南省,南阳市,光学元件、光学辅料、光敏电阻等光电产品的研发、生产和销售。,002189.SZ
002190,成飞集成,汽车制造业,四川省,成都市,汽车覆盖件模具的设计、研究和制造以及对外数控加工业务。,002190.SZ
002191,劲嘉股份,印刷和记录媒介复制业,广东省,深圳市,烟标印制及相关包装材料的生产经营,002191.SZ
002192,融捷股份,有色金属矿采选业,广东省,广州市,专业沥青产品的开发、生产与销售。,002192.SZ
002193,如意集团,纺织业,山东省,济宁市,纺织品、服装的生产和销售。,002193.SZ
002194,武汉凡谷,计算机、通信和其他电子设备制造业,湖北省,武汉市,"主要从事移动通信天馈系统射频子系统及器件的研制、生产、销售和服务,为全球领先的移动通信系统集成商提供射频子系统、双工器、滤波器等器件和服务。",002194.SZ
002195,岩山科技,软件和信息技术服务业,上海市,上海市,对日软件出口业务（软件外包）,002195.SZ
002196,方正电机,专用设备制造业,浙江省,丽水市,微型特种电机的研发、生产和销售。,002196.SZ
002197,证通电子,软件和信息技术服务业,广东省,深圳市,加密键盘、自助服务终端、电话E-POS、自动识别技术产品和公共通讯终端产品等的研发、生产和销售。,002197.SZ
002198,嘉应制药,医药制造业,广东省,梅州市,主要从事中成药的研发、生产和销售，以治疗喉科、感冒类中成药为主导产品。,002198.SZ
002199,东晶电子,计算机、通信和其他电子设备制造业,浙江省,金华市,石英晶体元器件产品的研发、生产和销售。,002199.SZ
002200,ST 交投,林业,云南省,昆明市,盆栽植物及观赏苗木的生产及销售，绿化工程设计及施工。,002200.SZ
002201,正威新材,非金属矿物制品业,江苏省,如皋市,玻璃纤维及其深加工制品的研发、生产与销售。,002201.SZ
002202,金风科技,通用设备制造业,新疆维吾尔自治区,乌鲁木齐市,大型风力发电机组的开发研制、生产及销售，中试型风力发电场的建设及运营。,002202.SZ
002203,海亮股份,有色金属冶炼及压延加工业,浙江省,诸暨市,生产、销售铜和铜合金的无缝管材、管件以及铜线杆等,002203.SZ
002204,大连重工,专用设备制造业,辽宁省,大连市,大型高端铸锻件产品的研发、生产、销售和服务。,002204.SZ
002205,国统股份,非金属矿物制品业,新疆维吾尔自治区,乌鲁木齐市,PCCP 的制造、运输及其异型管件、配件的开发制造，及其它管材产品的生产和经营。,002205.SZ
002206,海利得,化学纤维制造业,浙江省,海宁市,涤纶工业长丝、灯箱布、PVC 膜、土工布的研究开发、生产、销售，以及网布的研究开发和生产。,002206.SZ
002207,准油股份,开采辅助活动,新疆维吾尔自治区,克拉玛依市,石油技术业务、油田管理业务、建筑安装业务、运输服务业务和化工产品销售。,002207.SZ
002208,合肥城建,房地产业,安徽省,合肥市,普通商品住宅及其配套商业地产、综合商务楼的开发、销售、服务。,002208.SZ
002209,达意隆,专用设备制造业,广东省,广州市,饮料包装机械的研发、生产和销售。,002209.SZ
002210,飞马国际,商务服务业,广东省,深圳市,综合物流服务、贸易执行、物流园经营,002210.SZ
002211,ST 宏达,化学原料及化学制品制造业,上海市,上海市,高温硅橡胶系列产品的研究、生产和销售。,002211.SZ
002212,天融信,软件和信息技术服务业,广东省,汕头市,网络安全,002212.SZ
002213,大为股份,汽车制造业,广东省,深圳市,汽车制造业、新一代信息技术业双主业。,002213.SZ
002214,大立科技,计算机、通信和其他电子设备制造业,浙江省,杭州市,红外热像仪和硬盘录像机两大系列产品的研发、生产和销售。,002214.SZ
002215,诺普信,化学原料及化学制品制造业,广东省,深圳市,农药制剂产品生产销售,002215.SZ
002216,三全食品,食品制造业,河南省,郑州市,速冻汤圆、速冻水饺、速冻粽子以及速冻面点等速冻米面食品的生产和销售,002216.SZ
002217,合力泰,计算机、通信和其他电子设备制造业,福建省,莆田市,化工产品和化肥产品的生产销售业务。,002217.SZ
002218,拓日新能,电气机械及器材制造业,广东省,深圳市,研发、生产及销售太阳电池芯片、太阳电池组件、太阳能供电电源、太阳能应用产品。,002218.SZ
002219,新里程,卫生,甘肃省,陇南市,中药研发、生产、销售服务。,002219.SZ
002220,ST 天宝,农副食品加工业,辽宁省,大连市,水产品加工出口为主的农副产品加工、销售。,
002221,东华能源,批发业,江苏省,张家港市,生产、销售低温常压液化气并提供相关售后服务。,002221.SZ
